x_m,y_m
-3.499395487940974192e+01,3.665919735563649340e+01
-3.516211458399958900e+01,3.668928816130055282e+01
-3.533022122462458725e+01,3.671989191862476787e+01
-3.549828187648005695e+01,3.675102277799977912e+01
-3.566629653956599100e+01,3.678269842741383400e+01
-3.583426521388239649e+01,3.681493301725758727e+01
-3.600219143702693003e+01,3.684773716032398738e+01
-3.617007874659724109e+01,3.688113561979665178e+01
-3.633792360499568019e+01,3.691513547087086522e+01
-3.650572954981989682e+01,3.694975440153493196e+01
-3.667349658106989807e+01,3.698500656217946414e+01
-3.684123177394099002e+01,3.702087072721852223e+01
-3.700893866603083637e+01,3.705726906950367550e+01
-3.717662433253474319e+01,3.709410607389821735e+01
-3.734429584864802365e+01,3.713129330046071175e+01
-3.751195675196833434e+01,3.716874938444509269e+01
-3.767961765528865214e+01,3.720638234831227464e+01
-3.784728209620661943e+01,3.724410021452321473e+01
-3.801495714991755648e+01,3.728181808073415482e+01
-3.818264989161677647e+01,3.731944396940602360e+01
-3.835036739649958548e+01,3.735689651579274084e+01
-3.851811320216364720e+01,3.739408020475758576e+01
-3.868589438380427481e+01,3.743091013395680022e+01
-3.885372155421443097e+01,3.746729432585134134e+01
-3.902159471339411567e+01,3.750314787809742256e+01
-3.918952801173396239e+01,3.753838235075367891e+01
-3.935752144923396401e+01,3.757290930387867434e+01
-3.952558210108943371e+01,3.760663675993336597e+01
-3.969371704249567756e+01,3.763947627897633197e+01
-3.986193688624567955e+01,3.767134649626149212e+01
-4.003024516993708914e+01,3.770214835905446193e+01
-4.019864543116755584e+01,3.773180404020681067e+01
-4.036714474513239992e+01,3.776021802458180332e+01
-4.053575372462458404e+01,3.778730187223806070e+01
-4.070447590724177189e+01,3.781297068083181045e+01
-4.087332190577693325e+01,3.783713601042164498e+01
-4.104228818263239731e+01,3.785970588346852139e+01
-4.121139242579646123e+01,3.788059186003101786e+01
-4.138063463526911789e+01,3.789970903776540467e+01
-4.155002188624568049e+01,3.791696543913258211e+01
-4.171956125392146220e+01,3.793227616178883466e+01
-4.188925627589411960e+01,3.794553507780446466e+01
-4.205906450099177363e+01,3.795654054411305367e+01
-4.222893286524958967e+01,3.796503785368336992e+01
-4.239881184230036837e+01,3.797078291227711588e+01
-4.256864129298396193e+01,3.797352455046070929e+01
-4.273837169093317812e+01,3.797301867399586683e+01
-4.290794643458552571e+01,3.796901057585134254e+01
-4.307730892237849218e+01,3.796125262419117519e+01
-4.324640962794489951e+01,3.794949718717946041e+01
-4.341519194972224227e+01,3.793349663298023700e+01
-4.358360282374567873e+01,3.791299979215992266e+01
-4.375158918605036718e+01,3.788775903288258462e+01
